id,from_date,until_date,deadline,title,area,region,country,reference,link,date_identified
147586,01/08/2025,31/12/2025,24/06/2025,English Teachers and Project support,Education and Pedagogy,Catalonia,Spain,N147586/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=147586,2025-06-19 09:08:37
147210,01/08/2025,31/12/2025,24/06/2025,Técnico/a de programas internacionales (ámbito empleo),Public Administration,Catalonia,Spain,N147210/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=147210,2025-06-19 09:08:37
147113,01/09/2025,01/02/2026,24/06/2025,Content Creator,"Communication, Media, Journalism",Timiş,Romania,N147113/20/TIMIS,https://eurodyssey.aer.eu/traineeship?id=147113,2025-06-19 09:08:37
147017,01/08/2025,31/12/2025,24/06/2025,Architecture and urban design,Architecture and Construction,Catalonia,Spain,N147017/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=147017,2025-06-19 09:08:37
146992,01/08/2025,31/12/2025,24/06/2025,"Promotion, Marketing and Community Management",International Affairs,Catalonia,Spain,N146992/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146992,2025-06-19 09:08:37
146991,01/08/2025,31/12/2025,24/06/2025,Manager of International cooperation Projects,International Affairs,Catalonia,Spain,N146991/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146991,2025-06-19 09:08:37
146969,01/08/2025,31/12/2025,24/06/2025,"Environtmental education for childs and youngs, and volunteer campaigns",Biology & Environment,Catalonia,Spain,N146969/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146969,2025-06-19 09:08:37
146968,01/08/2025,31/12/2025,24/06/2025,Management of Natural Resources - Aquatic Fauna,Biology & Environment,Catalonia,Spain,N146968/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146968,2025-06-19 09:08:37
146964,01/08/2025,31/12/2025,24/06/2025,R&D Project Management,Transport and Logistics,Catalonia,Spain,N146964/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146964,2025-06-19 09:08:37
146962,01/08/2025,31/12/2025,24/06/2025,Communications Project Manager,Transport and Logistics,Catalonia,Spain,N146962/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146962,2025-06-19 09:08:37
146932,01/08/2025,31/12/2025,24/06/2025,Art department assistant,Audiovisual,Catalonia,Spain,N146932/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146932,2025-06-19 09:08:37
146925,01/08/2025,31/12/2025,24/06/2025,"Communication, community management, web manager in creative tourism","Communication, Media, Journalism",Catalonia,Spain,N146925/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146925,2025-06-19 09:08:37
146924,21/07/2025,20/01/2026,,collaboratore cucina,Tourism,Valle d'Aosta,Italy,N146924/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=146924,2025-06-19 09:08:37
146884,14/07/2025,08/01/2026,,"Project and Communication Assistant, Lifelong Learning",Education and Pedagogy,Brussels-Capital,Belgium,N146884/20/BRUSSELSCAPITAL,https://eurodyssey.aer.eu/traineeship?id=146884,2025-06-19 09:08:37
146883,01/08/2025,31/12/2025,24/06/2025,International Internship at a peace and disarmament research centre,Associations - Ngo - Humanitarian Organisations,Catalonia,Spain,N146883/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146883,2025-06-19 09:08:37
146722,01/08/2025,31/12/2025,24/06/2025,Front Desk Agent Trainee,Tourism,Catalonia,Spain,N146722/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146722,2025-06-19 09:08:37
146637,01/08/2025,31/12/2025,24/06/2025,INTERNSHIP IN ARCHITECTURE,Architecture and Construction,Catalonia,Spain,N146637/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146637,2025-06-19 09:08:37
146611,25/08/2025,19/02/2026,,Junior E-commerce Marketing Associate,Marketing and Business,Brussels-Capital,Belgium,N146611/20/BRUSSELSCAPITAL,https://eurodyssey.aer.eu/traineeship?id=146611,2025-06-19 09:08:37
146606,01/08/2025,31/12/2025,24/06/2025,Operations Intern,Administrative and Office Management,Catalonia,Spain,N146606/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146606,2025-06-19 09:08:37
146373,01/08/2025,31/12/2025,24/06/2025,Architecture Intern,Architecture and Construction,Catalonia,Spain,N146373/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146373,2025-06-19 09:08:37
146361,01/08/2025,31/12/2025,24/06/2025,Design Architect,Architecture and Construction,Catalonia,Spain,N146361/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146361,2025-06-19 09:08:37
146335,01/08/2025,31/12/2025,24/06/2025,Communicating in EU affairs,"Communication, Media, Journalism",Catalonia,Spain,N146335/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146335,2025-06-19 09:08:37
146334,01/08/2025,31/12/2025,24/06/2025,Working in EU affairs and youth mobility,Public Administration,Catalonia,Spain,N146334/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146334,2025-06-19 09:08:37
146330,01/08/2025,31/12/2025,24/06/2025,Traineeship in a young architecture studio in Barcelona,Architecture and Construction,Catalonia,Spain,N146330/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146330,2025-06-19 09:08:37
146101,01/09/2025,31/03/2026,,junior researcher in agrifood,Agrifood,Valle d'Aosta,Italy,N146101/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=146101,2025-06-19 09:08:37
145945,01/09/2025,01/03/2026,,Professeur FLE,Education and Pedagogy,Valle d'Aosta,Italy,N145945/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=145945,2025-06-19 09:08:37
145937,21/07/2025,20/01/2026,,"addetto/a alla comunicazione, social marketing, grafica fotografia di un Bistrot",Tourism,Valle d'Aosta,Italy,N145937/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=145937,2025-06-19 09:08:37
145732,21/07/2025,20/01/2026,,"Information officer in charge of operational support activities in the management, also administrative, of the Promotion, Innovation and Internationalisation Desk - SPIN2",Marketing and Business,Valle d'Aosta,Italy,N145732/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=145732,2025-06-19 09:08:37
145463,16/09/2025,17/03/2026,,Assistant du professeur d'espagnol et d'allemand,Education and Pedagogy,Adjara,Georgia,N145463/20/ADJARA,https://eurodyssey.aer.eu/traineeship?id=145463,2025-06-19 09:08:37
145458,15/09/2025,16/03/2026,,Assistant du professeur d'espagnol et d'anglais,Education and Pedagogy,Adjara,Georgia,N145458/20/ADJARA,https://eurodyssey.aer.eu/traineeship?id=145458,2025-06-19 09:08:37
145187,15/09/2025,16/03/2026,,Assistant du professeur de français,Education and Pedagogy,Adjara,Georgia,N145187/20/ADJARA,https://eurodyssey.aer.eu/traineeship?id=145187,2025-06-19 09:08:37
145140,21/07/2025,20/01/2026,,"Supporto all’organizzazione di eventi culturali, gestione d’archivi multimediali e attività di ripresa e montaggio video",Audiovisual,Valle d'Aosta,Italy,N145140/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=145140,2025-06-19 09:08:37
144784,01/08/2025,31/12/2025,24/06/2025,International junior consultant,International Affairs,Catalonia,Spain,N144784/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=144784,2025-06-19 09:08:37
142529,28/07/2025,22/01/2026,,Textile Engineer Intern,"Textile, Clothing, Fashion",Brussels-Capital,Belgium,N142529/20/BRUSSELSCAPITAL,https://eurodyssey.aer.eu/traineeship?id=142529,2025-06-19 09:08:37
141310,28/07/2025,22/01/2026,,Architect,Architecture and Construction,Brussels-Capital,Belgium,N141310/20/BRUSSELSCAPITAL,https://eurodyssey.aer.eu/traineeship?id=141310,2025-06-19 09:08:37
145188,15/09/2025,16/03/2026,,Assistant du professeur d'anglais,Education and Pedagogy,Adjara,Georgia,N145188/20/ADJARA,https://eurodyssey.aer.eu/traineeship?id=145188,2025-06-19 09:08:37
145911,21/07/2025,20/01/2026,,Scavi e attività archeologici in Valle d'Aosta.,Arts and Crafts,Valle d'Aosta,Italy,N145911/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=145911,2025-06-19 09:08:37
146856,21/07/2025,20/01/2026,,MAV - Museo dell'artigianato valdostano di tradizione,Arts and Crafts,Valle d'Aosta,Italy,N146856/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=146856,2025-06-19 09:08:37
146926,18/08/2025,12/02/2026,04/07/2025,Guest Relation Trainee at the Steigenberger Wiltcher's Hotel,Hospitality Industry,Brussels-Capital,Belgium,N146926/20/BRUSSELSCAPITAL,https://eurodyssey.aer.eu/traineeship?id=146926,2025-06-19 09:08:37
146938,01/08/2025,31/12/2025,24/06/2025,OPERATIONS & CLIENT RELATIONS ASSISTANT,Administrative and Office Management,Catalonia,Spain,N146938/20/CATALUNYA,https://eurodyssey.aer.eu/traineeship?id=146938,2025-06-19 09:08:37
147117,21/07/2025,20/01/2026,,Stage in architettura,Architecture and Construction,Valle d'Aosta,Italy,N147117/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=147117,2025-06-19 09:08:37
147125,01/09/2025,26/02/2026,,Communications Assistant,"Communication, Media, Journalism",Brussels-Capital,Belgium,N147125/20/BRUSSELSCAPITAL,https://eurodyssey.aer.eu/traineeship?id=147125,2025-06-19 09:08:37
125754,15/09/2025,16/03/2026,,Assistant du professeur d'allemand,Education and Pedagogy,Adjara,Georgia,N125754/20/ADJARA,https://eurodyssey.aer.eu/traineeship?id=125754,2025-06-19 09:08:37
141128,25/08/2025,19/02/2026,,Assistant.e caviste (Wine Shop Assistant),Marketing and Business,Brussels-Capital,Belgium,N141128/20/BRUSSELSCAPITAL,https://eurodyssey.aer.eu/traineeship?id=141128,2025-06-19 09:08:37
143581,15/09/2025,16/03/2026,,Assistant du professeur d'italien,Education and Pedagogy,Adjara,Georgia,N143581/20/ADJARA,https://eurodyssey.aer.eu/traineeship?id=143581,2025-06-19 09:08:37
145107,01/09/2025,28/02/2026,,FORTE DI BARD. Monument and museums officer,Tourism,Valle d'Aosta,Italy,N145107/20/VALLEDAOSTA,https://eurodyssey.aer.eu/traineeship?id=145107,2025-06-19 09:08:37
